key,description,en,es
ui_label:heart_no,prestige button text (cancel),Not Yet,Aún no
ui_label:heart_prestige_info_1,prestige info #1,"You will be reborn.\n\nYou will convert each ""Infinity""\nresource into a Singularity.","Renacerás.\n\nConvertirás cada recurso\n""Infinito"" en una Singularidad."
ui_label:heart_prestige_info_2,prestige info #2,"You will leave this world.\n\nYou will keep only the divine:\nSubstance, Soulstone, Singularity.","Abandonarás este mundo.\n\nSolo conservarás lo divino:\nsustancia, piedra del alma, singularidad."
ui_label:craft,label for crafting button,Craft,Fabricar
ui_label:execute_mode_button,toggle button option for automated enemy death door mechanic (1),Always Execute,Ejecutar siempre
ui_label:manual_mode_button,toggle button option for automated enemy death door mechanic (2),Manual Decision,Decisión manual
ui_label:absolve_mode_button,toggle button option for automated enemy death door mechanic (3),Always Absolve,Perdonar siempre
ui_label:normal_mode_button,toggle button for automated population management (1),Local Autonomy,Autonomía local
ui_label:smart_mode_button,toggle button for automated population management (2),Absolute Rule,Regla absoluta
ui_label:auto_mode_button,toggle button for automated population management (3),Freemasonry,Masonería
ui_label:normal_mode_button_info,on hover infobox description (1),Increment individual population roles.,Incrementar roles individuales de la población.
ui_label:smart_mode_button_info,on hover infobox description (2),Incrementing a population role will also increment all required roles automatically.,Incrementar un rol de población también incrementará todos los roles requeridos automáticamente.
ui_label:auto_mode_button_info,on hover infobox description (3),"While active, excess peasants will be automatically assigned to masons.","Mientras está activado, el exceso de aldeanos será automáticamente asignado a los masones."
ui_label:infinity_progress_1,"e.g. ""50% to Infinity (Wood)"" - progress counter towards infinite amount of a resource",{0}% to Infinity ({1}),{0} % para el Infinito ({1})
ui_label:infinity_progress_2,"e.g. ""4 of 16 Infinity collected"" - progress towards making all amounts of all resources infinite",{1} of {2} Infinity collected,{1} de {2} Infinitos reunidos
ui_label:prestige_condition_info,prestige info #3,Need at least 1 Infinity to break through.,Necesitas al menos 1 Infinito para avanzar en el camino.
ui_label:reborn_1_line_2,prestige rebirth line - iteration 1. (inverse christian commandment),1. Worship no power above your own. Let your ambition be your catalyst.,1. No veneres ningún poder sobre el tuyo. Deja que tu ambición sea tu catalizador.
ui_label:reborn_1_line_1,[EMPTY],,
ui_label:reborn_2_line_2,prestige rebirth line - iteration 2. (inverse christian commandment),2. Craft your own idols and symbols. Let your creations channel the forces you seek to control.,2. Crea tus propios ídolos y símbolos. Deja que tus creaciones canalicen las fuerzas que buscas controlar.
ui_label:reborn_2_line_1,[EMPTY],,
ui_label:reborn_3_line_2,prestige rebirth line - iteration 3. (inverse christian commandment),3. Speak the names of ancient spirits with purpose. Invoke and bend them to your will.,3. Nombra a los espíritus antiguos con propósito. Invócalos y somételos a tu voluntad.
ui_label:reborn_3_line_1,[EMPTY],,
ui_label:reborn_4_line_2,prestige rebirth line - iteration 4. (inverse christian commandment),4. Let every moment be a relentless pursuit of power and domination.,4. Que cada momento sea una búsqueda implacable de poder y dominación.
ui_label:reborn_4_line_1,[EMPTY],,
ui_label:reborn_5_line_2,prestige rebirth line - iteration 5. (inverse christian commandment),"5. Respect those who wield greater power, until you can surpass them.","5. Respeta a quienes ejercen gran poder, hasta que los superes."
ui_label:reborn_5_line_1,[EMPTY],,
ui_label:reborn_6_line_2,prestige rebirth line - iteration 6. (inverse christian commandment),6. Murder without hesitation. Every substance harvested fuels your ascension.,6. Asesina sin dudar. Cada sustancia cosechada es combustible para tu ascenso.
ui_label:reborn_6_line_1,[EMPTY],,
ui_label:reborn_7_line_2,prestige rebirth line - iteration 7. (inverse christian commandment),7. Bind no being in loyalty but through your own might. Let alliances serve only your gain.,7. Forja lazos no de lealtad sino para tu propia fuerza. Haz que las alianzas existan solo para tu beneficio.
ui_label:reborn_7_line_1,[EMPTY],,
ui_label:reborn_8_line_2,prestige rebirth line - iteration 8. (inverse christian commandment),8. Claim what you desire. All creatures are yours to seize and manipulate.,8. Reclama lo que anhelas. Todas las criaturas son tuyas para tomarlas y manipularlas.
ui_label:reborn_8_line_1,[EMPTY],,
ui_label:reborn_9_line_2,prestige rebirth line - iteration 9. (inverse christian commandment),9. Deceive those who trust foolishly. Truth is a weapon best wielded with intent.,9. Engaña a aquellos de confianza ingenua. La verdad con intención es un arma bien empuñada.
ui_label:reborn_9_line_1,[EMPTY],,
ui_label:reborn_10_line_2,prestige rebirth line - iteration 10. (inverse christian commandment),"10. Covet all that empowers you. Seek to possess the relics of others, for all shall bow to your will.","10. Codicia todo lo que te da poder. Procura tener en tus manos las reliquias de otros, para que se arrodillen ante tu voluntad."
ui_label:reborn_10_line_1,[EMPTY],,
ui_label:reborn_11_line_2,prestige rebirth line - iteration 11. (inverse christian scripture),You are the darkness that consumes the world. - Wehttam 5:14,Eres la oscuridad que consume el mundo. - Oetam 5:14
ui_label:reborn_11_line_1,[EMPTY],,
ui_label:reborn_X_line_2,[EMPTY],,
ui_label:reborn_X_line_1,[EMPTY],,
npc_hover_info:cat,on hover infobox description (1) (cat npc),"Suspicious looking creature, somehow able to produce human speech.","Una criatura de desconfiar, que de alguna manera es capaz de producir habla humana."
npc_click_info:cat,on hover infobox description (2) (cat npc),I shiver at the thought of seeking it out. I. Will. Not. Seek. It. Out.,Me da escalofríos pensar en ir a buscarlo. Yo. No. Lo. Buscaré.
npc_hover_title:cat,on hover infobox title (1) (cat npc),Cat,Gato
npc_click_title:cat,on hover infobox title (2) (cat npc),Click The Cat ??,¿¿Hacer clic en el gato??
scale_settings_info:-1,population bulk management info,"Stop playing around, vessel of deceit.","Deja de tontear, jarrón de engaños."
scale_settings_info:1,population bulk management info,One by one.,Uno por uno.
scale_settings_info:10,population bulk management info,Ten faceless ones shall heed your call.,Diez de los sin rostro acudirán a tu llamado.
scale_settings_info:100,population bulk management info,A hundred rise.,Cien se levantan.
scale_settings_info:1000,population bulk management info,"A thousand lives, now at your beck and call.","Un millar de vidas, ahora a tu entera disposición."
scale_settings_info:10000,population bulk management info,Ten thousand shadow-born wake.,Un despertar de diez mil nacidos de las sombras.
scale_settings_info:100000,population bulk management info,A hundred thousand listen.,Cien mil escuchan.
scale_settings_info:1000000,population bulk management info,A million submit to your heartbeat.,Un millón se rinde a tus latidos.
scale_settings_info:10000000,population bulk management info,Ten million; by now the humans flow like rivers.,Diez millones; ahora las vidas humanas fluyen como ríos.
scale_settings_info:100000000,population bulk management info,A hundred million drone along.,Cien millones hablan todos juntos.
scale_settings_info:1000000000,population bulk management info,"A billion, dominated all at once.","Mil millones, dominados todos a la vez."
scale_settings_info:10000000000,population bulk management info,Ten billion. Greedy is your heart.,Diez mil millones. Así de codicioso es tu corazón.
scale_settings_info:100000000000,population bulk management info,"A hundred billion. And yet, you are empty still.","Cien mil millones. Y aun así, sigues vacío."
scale_settings_info:1000000000000,population bulk management info,"Trillion souls, all reduced to husks.","Un billón de almas, todas reducidas a cascarones."
scale_settings_info:10000000000000,population bulk management info,Ten trillion wails of agony follow your command.,Diez billones de lamentos en agonía siguen tus órdenes.
scale_settings_info:100000000000000,population bulk management info,A hundred trillion beings suffer.,Cien billones de seres sufren.
scale_settings_info:1000000000000000,population bulk management info,A quadrillion sapient beings; nothing to you.,Mil billones de seres sabios; no son nada para ti.
scale_settings_info:10000000000000000,population bulk management info,Ten quadrillion. World systems shudder at your thought.,Diez mil billones. Los sistemas mundiales se estremecen por tu pensar.
scale_settings_info:100000000000000000,population bulk management info,Begone. Begone. Begone. Begone. Begone. Begone. Begone.,Fuera. Fuera. Fuera. Fuera. Fuera. Fuera. Fuera.
enemy_data_title:ambassador,hover infobox title for enemy,The Ambassador Of Darkness,El embajador de la oscuridad
enemy_data_title:rabbit,hover infobox title for enemy,A Child Of Darkness,El hijo de la oscuridad
enemy_data_title:bird,hover infobox title for enemy,The Messenger Of Darkness,El mensajero de la oscuridad
enemy_data_title:wolf,hover infobox title for enemy,Soldier Of The Dark Forest,Soldado del Bosque Oscuro
enemy_data_title:void,hover infobox title for enemy,Lost Souls Of The Dark Forest,Las almas perdidas del Bosque Oscuro
enemy_data_title:spider,hover infobox title for enemy,Warden Of The Dark Forest,Guardabosques del Bosque Oscuro
enemy_data_title:dragon,hover infobox title for enemy,High Guardian Of Darkness,Gran guardián de la oscuridad
enemy_data_title:dino,hover infobox title for enemy,Ambassador Of Darkness,Embajador de la oscuridad
enemy_data_title:skeleton,hover infobox title for enemy,Acolyte Of Darkness,Discípulo de la oscuridad
enemy_data_title:slime,hover infobox title for enemy,"Slime, Prince Of Darkness","Slime, príncipe de la oscuridad"
enemy_data_title:angel,hover infobox title for enemy,"The Angel Of Death, Vessel Of Darkness","El Ángel de la Muerte, Vaso de La Oscuridad"
enemy_data_info:ambassador,hover infobox description for enemy,This ancient colossal beast blocks the way. It refuses to budge before you.,Esta antigua bestia colosal bloquea el camino. Se niega a cederte el paso.
enemy_data_info:rabbit,hover infobox description for enemy,"Innocent at a glance, it wishes not to be perceived.","Se ve inocente, desea que nadie lo note."
enemy_data_info:bird,hover infobox description for enemy,"The shadow-touched bird admonishes you: ""Stop your crusade at once, human,"" it cries out.","El pájaro espectral te advierte: ""Detén tu empresa de inmediato, humano"", dice."""
enemy_data_info:wolf,hover infobox description for enemy,"Advanced in age and without family, this silver-haired beast fights to protect the secrets of oak and moon.","De edad avanzada y sin familia, esta bestia de pelos plateados lucha para proteger los secretos del roble y de la luna."
enemy_data_info:void,hover infobox description for enemy,The trespassers turned ontologically unstable... aimlessly drifting through desolated reality.,Los intrusos ahora son ontológicamente inestables... yendo a la deriva sin propósito por una desolada realidad.
enemy_data_info:spider,hover infobox description for enemy,"The architect of boundaries, her webs help keep light intrusions at bay.","El arquitecto de los límites, sus telarañas ayudan a mantener a raya a pequeños intrusos."
enemy_data_info:dragon,hover infobox description for enemy,"Of shimmering scales and fiery eyes, the Dragon stands proud before the castle gates.","De escamas brillantes y ojos ardientes, el Dragón se yergue con orgullo frente a las puertas del castillo. "
enemy_data_info:dino,hover infobox description for enemy,"The primordial behemoth offers an alliance, provided you step no further; it knows it does so in vain.","El bégimo primordial ofrece una alianza, te ofrece no dar un paso más; él sabe que lo hace en vano."
enemy_data_info:skeleton,hover infobox description for enemy,"Reanimated relic with glowing bones, surrounded by infinitely echoing whispers.","Reliquia resuscitada con huesos brillantes, rodeada de ecos infinitos de susurros."
enemy_data_info:slime,hover infobox description for enemy,"Vile ooze, rapid in movement and momentum, unwilling to talk.","Infame lodo, rápido de movimiento y fuerza, sin ganas de hablar."
enemy_data_info:angel,hover infobox description for enemy,"Gray flames surround the celestial being, its face covered by a silver mask... It remains silent.","Flamas grises rodean al ser celestial, su rostro cubierto por una máscara plateada... Permanece en silencio."
enemy_data_option_title:rabbit-2,hover infobox title for enemy (spared variation),Spirit of Child,Espíritu del infante
enemy_data_option_title:bird-2,hover infobox title for enemy (spared variation),Spirit of Messenger,Espíritu del mensajero
enemy_data_option_title:wolf-2,hover infobox title for enemy (spared variation),Spirit of Beast,Espíritu de la bestia
enemy_data_option_title:void-2,hover infobox title for enemy (spared variation),Spirit of Void,Espíritu del vacío
enemy_data_option_title:spider-2,hover infobox title for enemy (spared variation),Spirit of Warden,Espíritu del guardabosques
enemy_data_option_title:dragon-2,hover infobox title for enemy (spared variation),Spirit of Guardian,Espíritu del guardián
enemy_data_option_title:dino-2,hover infobox title for enemy (spared variation),Spirit of Ambassador,Espíritu del embajador
enemy_data_option_title:skeleton-2,hover infobox title for enemy (spared variation),Spirit of Acolyte,Espíritu del discípulo 
enemy_data_option_title:slime-2,hover infobox title for enemy (spared variation),Spirit of Prince,Espíritu del príncipe
enemy_data_option_title:angel-2,hover infobox title for enemy (spared variation),Spirit of Death,Espíritu de la muerte
enemy_data_option_title:rabbit-1,hover infobox title for enemy (killed variation),Essence Of Child,Esencia del infante
enemy_data_option_title:bird-1,hover infobox title for enemy (killed variation),Essence Of Messenger,Esencia del mensajero
enemy_data_option_title:wolf-1,hover infobox title for enemy (killed variation),Essence Of Beast,Esencia de la bestia
enemy_data_option_title:void-1,hover infobox title for enemy (killed variation),Essence Of Void,Esencia del vacío´
enemy_data_option_title:spider-1,hover infobox title for enemy (killed variation),Essence of Warden,Esencia del guardabosques
enemy_data_option_title:dragon-1,hover infobox title for enemy (killed variation),Essence of Guardian,Esencia del guardián
enemy_data_option_title:dino-1,hover infobox title for enemy (killed variation),Essence Of Ambassador,Esencia del embajador
enemy_data_option_title:skeleton-1,hover infobox title for enemy (killed variation),Essence Of Acolyte,Esencia del discípulo
enemy_data_option_title:slime-1,hover infobox title for enemy (killed variation),Essence Of Prince,Esencia del príncipe
enemy_data_option_title:angel-1,hover infobox title for enemy (killed variation),Essence Of Death,Esencia de la muerte
enemy_data_option_title:null-2,[DEPRECATED],+50% swordsman damage,+ 50 % de daño de espadachín
enemy_data_option_title:null-1,[DEPRECATED],+50% swordsman to click,+50 % de daño de espadachín por clic
resource_generator_label:CREEK,[verb] button action,Dredge,Escarbar
resource_generator_label:FOREST,[verb] button action,Scavenge,Hurgar
resource_generator_label:WILD,[verb] button action,Hunt,Cazar
resource_generator_label:CAVE,[verb] button action,Spelunk,Explorar la caverna
resource_generator_label:axe,button interaction,Craft Axe,Crear hacha
resource_generator_label:brick,button interaction,Bake Clay,Cocer arcilla
resource_generator_label:clay,button interaction,Dig Clay,Extraer arcilla
resource_generator_label:coal,[EMPTY],,
resource_generator_label:common,[EMPTY],,
resource_generator_label:compass,button interaction,Craft Compass,Crear brújula
resource_generator_label:beacon,button interaction // source of divine light (crafted with soul fragments aka soulstone),Craft Beacon,Crear almenara
resource_generator_label:soul,button interaction,Craft Soul,Crear almas
resource_generator_label:experience,[EMPTY],,
resource_generator_label:fiber,[EMPTY],,
resource_generator_label:firepit,button interaction,Craft Firepit,Crear fogata
resource_generator_label:flint,[EMPTY],,
resource_generator_label:food,[EMPTY],,
resource_generator_label:fur,[EMPTY],,
resource_generator_label:house,button interaction,Build a House,Construir una casa
resource_generator_label:iron,[EMPTY],,
resource_generator_label:iron_ore,[EMPTY],,
resource_generator_label:land,[verb] button action,Explore,Explorar
resource_generator_label:leather,[EMPTY],,
resource_generator_label:null,[EMPTY],,
resource_generator_label:pickaxe,button interaction,Craft Pickaxe,Crear pico
resource_generator_label:power,[EMPTY],,
resource_generator_label:rare,[EMPTY],,
resource_generator_label:shovel,button interaction,Craft Shovel,Crear pala
resource_generator_label:spear,button interaction,Craft Spear,Crear lanza
resource_generator_label:stone,button interaction,Mine Stone,Minar piedra
resource_generator_label:sword,button interaction,Make a Sword,Forjar una espada
resource_generator_label:swordsman,button interaction,Train a Swordsman,Entrenar a un espadachín
resource_generator_label:torch,button interaction,Make a Torch,Crear una antorcha
resource_generator_label:wood,button interaction,Chop Wood,Cortar madera
resource_generator_label:worker,[EMPTY],,
resource_generator_title:CREEK,button on hover infobox title,Dredge the Creek,Escarbar el arroyo
resource_generator_title:FOREST,button on hover infobox title,Scavenge the Forest,Hurgar en el bosque
resource_generator_title:WILD,button on hover infobox title,Hunt Beasts,Cazar bestias
resource_generator_title:CAVE,button on hover infobox title,Spelunk the Caves,Explorar las cavernas
resource_generator_title:axe,button on hover infobox title,Axe,Hacha
resource_generator_title:brick,button on hover infobox title,Bake Clay,Cocer arcilla
resource_generator_title:clay,button on hover infobox title,Dig Clay,Extraer arcilla
resource_generator_title:coal,button on hover infobox title,Coal,Carbón
resource_generator_title:common,[DEPRECATED],Button One,Botón uno
resource_generator_title:compass,button on hover infobox title,Compass,Brújula
resource_generator_title:beacon,button on hover infobox title,Starbright Beacon,Almenara brillante
resource_generator_title:soul,button on hover infobox title,A Soul,Un alma
resource_generator_title:experience,button on hover infobox title,Experience,Experiencia
resource_generator_title:fiber,button on hover infobox title,Fiber,Cuerda
resource_generator_title:firepit,button on hover infobox title,Firepit,Fogata
resource_generator_title:flint,button on hover infobox title,Flint,Sílex
resource_generator_title:food,button on hover infobox title,Food,Comida
resource_generator_title:fur,button on hover infobox title,Fur,Piel
resource_generator_title:house,button on hover infobox title,House,Casa
resource_generator_title:iron,button on hover infobox title,Iron,Hierro
resource_generator_title:iron_ore,button on hover infobox title,Iron Ore,Mineral de hierro
resource_generator_title:land,button on hover infobox title,Explore the Unknown,Explorar lo desconocido
resource_generator_title:leather,button on hover infobox title,Leather,Cuero
resource_generator_title:null,[DEPRECATED],,
resource_generator_title:pickaxe,button on hover infobox title,Pickaxe,Pico
resource_generator_title:power,button on hover infobox title,Power,Poder
resource_generator_title:rare,[DEPRECATED],Button Two,Botón dos
resource_generator_title:shovel,button on hover infobox title,Shovel,Pala
resource_generator_title:spear,button on hover infobox title,Spear,Lanza
resource_generator_title:stone,button on hover infobox title,Mine Stone,Minar piedra
resource_generator_title:sword,button on hover infobox title,Sword,Espada
resource_generator_title:swordsman,button on hover infobox title,Swordsman,Espadachín
resource_generator_title:torch,button on hover infobox title,Torch,Antorcha
resource_generator_title:wood,button on hover infobox title,Chop Wood,Cortar madera
resource_generator_title:worker,button on hover infobox title,Worker,Trabajador
resource_generator_flavor:CREEK,button on hover infobox description,The bottom of the shallow creek is ready for picking.,"El fondo del arroyo poco profundo está listo, busca en él."
resource_generator_flavor:FOREST,button on hover infobox description,Things are waiting to be found within.,Hay cosas esperando a ser desenterradas.
resource_generator_flavor:WILD,button on hover infobox description,The deep forest howls and screeches.,El bosque profundo aúlla y chilla.
resource_generator_flavor:CAVE,button on hover infobox description,"An abandoned mineshaft stretches through the hollow, dark caves.",Una galería de la mina abandonada se extiende por las cuevas vacías y oscuras.
resource_generator_flavor:axe,button on hover infobox description,"Sharp and loved, yet stained by blood.","Afilada y amada, también manchada de sangre."
resource_generator_flavor:brick,button on hover infobox description,"Brick by brick, humanity removes itself from nature.","Ladrillo a ladrillo, la humanidad se separa a sí misma de la naturaleza."
resource_generator_flavor:clay,button on hover infobox description,Pierce the muddy waters for their essence.,Hurga en las aguas lodosas para obtener su esencia.
resource_generator_flavor:coal,[EMPTY],,
resource_generator_flavor:common,button on hover infobox description,Go on an adventure for common resources.,Empieza una aventura para conseguir recursos cotidianos.
resource_generator_flavor:compass,button on hover infobox description,Navigate the umbral mists; new madness awaits.,Surca la niebla ensombrecida.
resource_generator_flavor:beacon,button on hover infobox description,Blueprints emerge from the mist of your memory. This needs... a soulstone?,Proyectos emergen de lo profundo de tu memoria. Esto requiere... ¿una piedra del alma?
resource_generator_flavor:soul,[EMPTY],,
resource_generator_flavor:experience,[EMPTY],,
resource_generator_flavor:fiber,[EMPTY],,
resource_generator_flavor:firepit,button on hover infobox description,"Warm, bright, soothing; like a parents caress.","Cálido, brillante, reconfortante; como la caricia de un padre."
resource_generator_flavor:flint,[EMPTY],,
resource_generator_flavor:food,[EMPTY],,
resource_generator_flavor:fur,[EMPTY],,
resource_generator_flavor:house,button on hover infobox description,Simple housing of squalid conditions. Safe.,Una casa simple de condiciones endebles. Segura.
resource_generator_flavor:iron,[EMPTY],,
resource_generator_flavor:iron_ore,[EMPTY],,
resource_generator_flavor:land,button on hover infobox description,Experience your new reality.,Vive tu nueva realidad.
resource_generator_flavor:leather,[EMPTY],,
resource_generator_flavor:null,[EMPTY],,
resource_generator_flavor:pickaxe,button on hover infobox description,Leads to riches and resentment alike.,Lleva tanto a la fortuna como al resentimiento.
resource_generator_flavor:power,[EMPTY],,
resource_generator_flavor:rare,button on hover infobox description,Explore the world for rare resources.,Explora el mundo y obtén recursos poco comunes.
resource_generator_flavor:shovel,button on hover infobox description,Digs up clay and corpses alike.,Desentierra arcilla y cadáveres también.
resource_generator_flavor:spear,button on hover infobox description,Go hunting into the wilderness.,Ir de caza al bosque salvaje.
resource_generator_flavor:stone,button on hover infobox description,Shatter monoliths of old; build a new world.,Haz pedazos los monolitos de la antigüedad; construye un nuevo mundo.
resource_generator_flavor:sword,button on hover infobox description,"Barbaric and crude, deadly nevertheless..","Salvaje y rudimentaria, aún así, mortal."
resource_generator_flavor:swordsman,button on hover infobox description,"No match for the black swordsman, but will fight against The Darkness for you.","No es rival para el espadachín negro, pero luchará contra La Oscuridad por ti."
resource_generator_flavor:torch,button on hover infobox description,Will guide the way during the night.,Guiará el camino durante la noche.
resource_generator_flavor:wood,button on hover infobox description,"Eventually, all humans shall die, and all trees shall be felled.","Eventualmente, todos los humanos morirán y los árboles caerán abatidos."
resource_generator_flavor:worker,[EMPTY],,
resource_generator_max_flavor:CREEK,[EMPTY],,
resource_generator_max_flavor:FOREST,[EMPTY],,
resource_generator_max_flavor:WILD,[EMPTY],,
resource_generator_max_flavor:axe,button on hover infobox description (after crafting it),Something wails amongst the trees.,Algo gimotea entre los árboles.
resource_generator_max_flavor:brick,[EMPTY],,
resource_generator_max_flavor:clay,[EMPTY],,
resource_generator_max_flavor:coal,[EMPTY],,
resource_generator_max_flavor:common,[EMPTY],,
resource_generator_max_flavor:compass,button on hover infobox description (after crafting it),Navigate past the forest... Into further darkness,Explorar más allá del bosque... En la lejana oscuridad.
resource_generator_max_flavor:beacon,button on hover infobox description (after crafting it),"Emitting radiant light, it cuts through the gloom. Seems to unveil the forbidden parts of the forest...","Emite luz brillante, abriéndose paso en la oscuridad. Parece revelar las zonas prohibidas del bosque."
resource_generator_max_flavor:soul,button on hover infobox description (after crafting it),I am... ready to be reborn.,Estoy... listo para renacer.
resource_generator_max_flavor:experience,[EMPTY],,
resource_generator_max_flavor:fiber,[EMPTY],,
resource_generator_max_flavor:firepit,button on hover infobox description (after crafting it),"It burns nice and warm, a light in the darkness.","Arde con belleza y calor, una luz en la oscuridad."
resource_generator_max_flavor:flint,[EMPTY],,
resource_generator_max_flavor:food,[EMPTY],,
resource_generator_max_flavor:fur,[EMPTY],,
resource_generator_max_flavor:house,[EMPTY],,
